time,seconds_elapsed,relativeAltitude,pressure
1640169663699532300,2.8895322265625,0.0185546875,826.1939697265625
1640169663739532300,2.9295322265625,0.0185546875,826.1939697265625
1640169663779532300,2.9695322265625,0.0211181640625,826.1937866210938
1640169663819532300,3.0095322265625,0.0211181640625,826.1937866210938
1640169663859532300,3.0495322265625,0.0211181640625,826.1937255859375
1640169663899532300,3.0895322265625,0.0211181640625,826.1937255859375
1640169663939532300,3.1295322265625,0.0211181640625,826.1937255859375
1640169663979532300,3.1695322265625,0.0211181640625,826.1937255859375
1640169664019532300,3.2095322265625,0.0211181640625,826.1936645507812
1640169664059532300,3.2495322265625,0.0211181640625,826.193603515625
1640169664099532300,3.2895322265625,0.0238037109375,826.1934814453125
1640169664139532300,3.3295322265625,0.0238037109375,826.1934814453125
1640169664179532300,3.3695322265625,0.0238037109375,826.1934204101562
1640169664219532300,3.4095322265625,0.0238037109375,826.1934204101562
1640169664259532300,3.4495322265625,0.0264892578125,826.1931762695312
1640169664299532300,3.4895322265625,0.029052734375,826.19287109375
1640169664339532300,3.5295322265625,0.029052734375,826.1928100585938
1640169664379532300,3.5695322265625,0.03173828125,826.192626953125
1640169664419532300,3.6095322265625,0.034423828125,826.1924438476562
1640169664459532300,3.6495322265625,0.034423828125,826.1922607421875
